players,date,ssg_bout,total_distance_m,tot_hsr_distance,acceleration_density,total_player_load,player_load_slow,get_up,bullet,stagnos_trimp
34,20/07/2019,1,434.0715,0,0.56469,48.45262,12.02324,0,0,557.19
33,20/07/2019,1,264.66602,0,0.48919,21.75808,12.72623,0,0,623.47
35,20/07/2019,1,416.72452,6.94,0.62447,39.66919,10.2175,0,3,629.04
13,20/07/2019,1,293.43439,0,0.49418,24.01939,10.4733,0,0,651.54
14,20/07/2019,1,280.11005,0,0.59278,27.04026,12.49057,0,0,651.92
15,20/07/2019,1,331.7023,0,0.62003,28.7101,11.47295,0,0,618.27
36,20/07/2019,1,391.30072,23.91,0.63414,34.44252,8.69008,0,1,666.83
16,20/07/2019,1,338.3114,15.78,0.58058,33.28556,9.42542,0,0,466.99
17,20/07/2019,1,300.75909,25.78,0.5354,28.50681,10.9321,7,1,636.46
19,20/07/2019,1,344.49359,0.38,0.64585,34.6566,15.6683,0,0,601.49
18,20/07/2019,1,347.31046,0,0.55187,37.22248,15.21141,0,0,684.01
20,20/07/2019,1,290.23944,0.4,0.6126,32.06023,14.39963,0,0,817.53
37,20/07/2019,1,390.00162,0.53,0.54543,32.9118,8.75558,1,2,761.71
38,20/07/2019,1,405.67682,1.96,0.7167,40.26779,9.39309,0,0,670.89
22,20/07/2019,1,321.423,0,0.5932,34.27023,14.88399,0,0,592.39
23,20/07/2019,1,333.715,3.17,0.53271,30.9458,11.62646,2,1,507.05
24,20/07/2019,2,275.7522,0,0.46448,24.5286,12.56737,0,0,462.85
25,20/07/2019,2,377.51904,9.53,0.65433,35.80833,10.80902,0,0,702.29
1,20/07/2019,2,244.54399,1.69,0.52572,27.02905,14.32646,5,3,709.73
2,20/07/2019,2,270.19818,0,0.53556,29.21308,17.04628,0,0,647.79
3,20/07/2019,2,263.56909,3.86,0.57186,34.06773,16.26324,4,3,723.86
26,20/07/2019,2,490.78983,5.41,0.75,47.23709,10.5775,0,0,438.73
4,20/07/2019,2,334.36703,0,0.58671,39.75588,16.74838,0,0,886.2
5,20/07/2019,2,409.96295,20.04,0.64513,39.10493,9.83319,0,0,863.85
27,20/07/2019,2,399.54086,15.57,0.61125,37.37009,10.20541,0,0,546.66
28,20/07/2019,2,248.15372,0,0.50489,20.23311,12.1823,0,0,424.53
29,20/07/2019,2,336.77795,0,0.655,36.19345,15.1703,1,0,529.96
7,20/07/2019,2,340.1911,0,0.5589,36.42585,13.02892,0,0,483.89
6,20/07/2019,2,339.56641,0,0.60204,36.4189,12.68443,0,0,816.77
30,20/07/2019,2,422.18515,4.12,0.64835,38.66143,9.84062,0,0,748.35
39,20/07/2019,2,317.38483,0,0.67824,32.98938,10.55498,0,0,819.39
8,20/07/2019,2,262.84082,0,0.51839,24.67799,13.46593,1,0,584.08
9,20/07/2019,2,299.10855,0,0.68641,34.38485,14.67145,0,0,521.5
32,20/07/2019,2,301.45447,34.07,0.56695,31.4065,12.54536,0,0,754.46
